kenpom_unique,team_fix
Milwaukee,Milwaukee
Minnesota,Minnesota
Mississippi St.,Mississippi State
Mississippi Valley St.,Mississippi Valley State
Missouri,Missouri
Missouri St.,Missouri State
Monmouth,Monmouth
Montana,Montana
Montana St.,Montana State
Morehead St.,Morehead State
Morgan St.,Morgan State
Mount St. Mary's,Mount St. Mary's
Murray St.,Murray State
Navy,Navy
Nebraska,Nebraska
Nebraska Omaha,Nebraska-Omaha
Nevada,Nevada
New Hampshire,New Hampshire
New Mexico,New Mexico
New Mexico St.,New Mexico State
New Orleans,New Orleans
Niagara,Niagara
Nicholls St.,Nicholls State
NJIT,NJIT
Norfolk St.,Norfolk State
North Carolina A&T,North Carolina A&T
North Carolina Central,North Carolina Central
North Carolina St.,North Carolina State
UNC Asheville,North Carolina-Asheville
UNC Greensboro,North Carolina-Greensboro
UNC Wilmington,North Carolina-Wilmington
North Dakota,North Dakota
North Dakota St.,North Dakota State
North Florida,North Florida
North Texas,North Texas
Northeastern,Northeastern
Northern Arizona,Northern Arizona
Northern Colorado,Northern Colorado
Northern Illinois,Northern Illinois
Northern Iowa,Northern Iowa
Northern Kentucky,Northern Kentucky
Northwestern,Northwestern
Northwestern St.,Northwestern State
Notre Dame,Notre Dame
Oakland,Oakland
Ohio,Ohio
Ohio St.,Ohio State
Oklahoma,Oklahoma
Oklahoma St.,Oklahoma State
Old Dominion,Old Dominion
Mississippi,Ole Miss
Oral Roberts,Oral Roberts
Oregon,Oregon
Oregon St.,Oregon State
Pacific,Pacific
Penn,Penn
Penn St.,Penn State
Pepperdine,Pepperdine
Pittsburgh,Pitt
Portland,Portland
Portland St.,Portland State
Prairie View A&M,Prairie View
Presbyterian,Presbyterian
Princeton,Princeton
Providence,Providence
Purdue,Purdue
Quinnipiac,Quinnipiac
Radford,Radford
Rhode Island,Rhode Island
Rice,Rice
Richmond,Richmond
Rider,Rider
Robert Morris,Robert Morris
Rutgers,Rutgers
Sacramento St.,Sacramento State
Sacred Heart,Sacred Heart
Saint Louis,Saint Louis
Saint Mary's,Saint Mary's (CA)
Sam Houston St.,Sam Houston State
Samford,Samford
San Diego,San Diego
San Diego St.,San Diego State
San Francisco,San Francisco
San Jose St.,San Jose State
Santa Clara,Santa Clara
Savannah St.,Savannah State
Seattle,Seattle
Seton Hall,Seton Hall
Siena,Siena
SMU,SMU
South Alabama,South Alabama
South Carolina,South Carolina
South Carolina St.,South Carolina State
USC Upstate,South Carolina Upstate
South Dakota,South Dakota
South Dakota St.,South Dakota State
South Florida,South Florida
Southeast Missouri St.,Southeast Missouri State
Southeastern Louisiana,Southeastern Louisiana
Southern,Southern
Southern Illinois,Southern Illinois
SIU Edwardsville,Southern Illinois-Edwardsville
Southern Miss,Southern Miss
Southern Utah,Southern Utah
Southwest Missouri St.,Missouri State
Southwest Texas St.,Texas State
St. Bonaventure,St. Bonaventure
St. Francis NY,St. Francis (NY)
St. Francis PA,Saint Francis (PA)
St. John's,St. John's (NY)
Saint Joseph's,St. Joseph's
Saint Peter's,St. Peter's
Stanford,Stanford
Stephen F. Austin,Stephen F. Austin
Stetson,Stetson
Stony Brook,Stony Brook
Syracuse,Syracuse
Temple,Temple
Tennessee,Tennessee
Tennessee St.,Tennessee State
Tennessee Tech,Tennessee Tech
Texas,Texas
Texas A&M,Texas A&M
Texas A&M Corpus Chris,Texas A&M-Corpus Christi
TCU,Texas Christian
Texas Southern,Texas Southern
Texas St.,Texas State
Texas Tech,Texas Tech
UT Arlington,Texas-Arlington
Texas Pan American,Texas-Rio Grande Valley
UT Rio Grande Valley,Texas-Rio Grande Valley
Toledo,Toledo
Towson,Towson
Troy,Troy
Troy St.,Troy
Tulane,Tulane
Tulsa,Tulsa
UC Davis,UC-Davis
UC Irvine,UC-Irvine
UC Riverside,UC-Riverside
UC Santa Barbara,UC-Santa Barbara
UCF,UCF
UCLA,UCLA
Connecticut,UConn
Illinois Chicago,UIC
Massachusetts,UMass
UMass Lowell,UMass-Lowell
UMBC,UMBC
UMKC,UMKC
North Carolina,UNC
California,University of California
UNLV,UNLV
USC,USC
Tennessee Martin,UT-Martin
Utah,Utah
Utah St.,Utah State
Utah Valley,Utah Valley
Utah Valley St.,Utah Valley
UTEP,UTEP
UTSA,UTSA
Valparaiso,Valparaiso
Vanderbilt,Vanderbilt
VCU,VCU
Vermont,Vermont
Villanova,Villanova
Virginia,Virginia
VMI,Virginia Military Institute
Virginia Tech,Virginia Tech
Wagner,Wagner
Wake Forest,Wake Forest
Washington,Washington
Washington St.,Washington State
Weber St.,Weber State
West Virginia,West Virginia
Western Carolina,Western Carolina
Western Illinois,Western Illinois
Western Kentucky,Western Kentucky
Western Michigan,Western Michigan
Wichita St.,Wichita State
William & Mary,William & Mary
Winston Salem St.,Winston-Salem
Winthrop,Winthrop
Wisconsin,Wisconsin
Wofford,Wofford
Wright St.,Wright State
Wyoming,Wyoming
Xavier,Xavier
Yale,Yale
Youngstown St.,Youngstown State
