Away_Team,Away_Score,Home_Team,Home_Score,Year,day,tourney_game
Arkansas,78,Missouri,83,2017,2/4/2017,0
Montana State,84,Montana,90,2017,2/4/2017,0
North Carolina Central,68,Morgan State,62,2017,2/4/2017,0
Central Connecticut,54,Mount St. Mary's,52,2017,2/4/2017,0
Colorado State,69,UNLV,49,2017,2/4/2017,0
San Jose State,78,New Mexico,68,2017,2/4/2017,0
Chicago State,51,New Mexico State,86,2017,2/4/2017,0
Nicholls State,69,New Orleans,78,2017,2/4/2017,0
Miami (FL),84,North Carolina State,79,2017,2/4/2017,0
Delaware,80,North Carolina-Wilmington,108,2017,2/4/2017,0
Northern Colorado,77,North Dakota,87,2017,2/4/2017,0
South Dakota,76,North Dakota State,66,2017,2/4/2017,0
Stetson,64,North Florida,96,2017,2/4/2017,0
Rice,95,North Texas,80,2017,2/4/2017,0
Eastern Michigan,69,Northern Illinois,81,2017,2/4/2017,0
Indiana State,60,Northern Iowa,65,2017,2/4/2017,0
Stephen F. Austin,75,Northwestern State,73,2017,2/4/2017,0
Akron,70,Ohio,85,2017,2/4/2017,0
Florida Atlantic,65,Old Dominion,61,2017,2/4/2017,0
Arizona,58,Oregon,85,2017,2/4/2017,0
Arizona State,81,Oregon State,68,2017,2/4/2017,0
Rutgers,70,Penn State,68,2017,2/4/2017,0
Pacific,72,Pepperdine,82,2017,2/4/2017,0
Niagara,81,Quinnipiac,89,2017,2/4/2017,0
George Washington,75,Richmond,84,2017,2/4/2017,0
Bryant,70,Sacred Heart,73,2017,2/4/2017,0
Fordham,86,St. Joseph's,83,2017,2/4/2017,0
North Carolina A&T,59,Saint Louis,78,2017,2/4/2017,0
North Carolina-Greensboro,81,Samford,75,2017,2/4/2017,0
Saint Mary's (CA),71,San Diego,27,2017,2/4/2017,0
Loyola Marymount,64,San Francisco,74,2017,2/4/2017,0
Hampton,92,Savannah State,89,2017,2/4/2017,0
Utah Valley,50,Seattle,63,2017,2/4/2017,0
Canisius,80,Siena,73,2017,2/4/2017,0
Georgia,75,South Carolina,77,2017,2/4/2017,0
Norfolk State,65,South Carolina State,62,2017,2/4/2017,0
Oral Roberts,67,South Dakota State,74,2017,2/4/2017,0
Morehead State,89,Southeast Missouri State,81,2017,2/4/2017,0
Grambling,66,Southern,67,2017,2/4/2017,0
Jacksonville State,72,Southern Illinois-Edwardsville,61,2017,2/4/2017,0
Western Kentucky,64,Southern Miss,47,2017,2/4/2017,0
VCU,83,St. Bonaventure,77,2017,2/4/2017,0
Robert Morris,78,St. Francis (NY),54,2017,2/4/2017,0
Utah,75,Stanford,81,2017,2/4/2017,0
Virginia,62,Syracuse,66,2017,2/4/2017,0
Eastern Kentucky,68,UT-Martin,85,2017,2/4/2017,0
Texas State,61,Texas-Arlington,76,2017,2/4/2017,0
Texas,63,Texas Christian,78,2017,2/4/2017,0
Middle Tennessee,54,UTEP,57,2017,2/4/2017,0
UMKC,73,Texas-Rio Grande Valley,60,2017,2/4/2017,0
Alabama-Birmingham,67,UTSA,82,2017,2/4/2017,0
Prairie View,61,Texas Southern,74,2017,2/4/2017,0
Oklahoma,69,Texas Tech,77,2017,2/4/2017,0
William & Mary,80,Towson,82,2017,2/4/2017,0
South Alabama,76,Troy,71,2017,2/4/2017,0
SMU,76,Tulsa,53,2017,2/4/2017,0
Ole Miss,81,Vanderbilt,74,2017,2/4/2017,0
St. John's (NY),79,Villanova,92,2017,2/4/2017,0
Georgia Tech,69,Wake Forest,81,2017,2/4/2017,0
UCLA,107,Washington,66,2017,2/4/2017,0
USC,86,Washington State,77,2017,2/4/2017,0
Northern Arizona,80,Weber State,86,2017,2/4/2017,0
Oklahoma State,82,West Virginia,75,2017,2/4/2017,0
Nebraska-Omaha,79,Western Illinois,67,2017,2/4/2017,0
Illinois State,45,Wichita State,86,2017,2/4/2017,0
Campbell,62,Winthrop,76,2017,2/4/2017,0
Northern Kentucky,83,Wright State,79,2017,2/4/2017,0
Detroit,90,Youngstown State,80,2017,2/4/2017,0
Buffalo,96,Ball State,69,2017,2/3/2017,0
Western Michigan,82,Central Michigan,86,2017,2/3/2017,0
Yale,87,Columbia,78,2017,2/3/2017,0
Brown,81,Cornell,70,2017,2/3/2017,0
Princeton,69,Dartmouth,64,2017,2/3/2017,0
Rhode Island,70,Davidson,59,2017,2/3/2017,0
Penn,59,Harvard,69,2017,2/3/2017,0
St. Peter's,70,Monmouth,71,2017,2/3/2017,0
Iona,95,Rider,76,2017,2/3/2017,0
Navy,70,Boston University,61,2017,2/2/2017,0
Gonzaga,85,BYU,75,2017,2/2/2017,0
UC-Davis,70,Cal Poly,74,2017,2/2/2017,0
Utah,75,University of California,77,2017,2/2/2017,0
Hawaii,72,UC-Riverside,63,2017,2/2/2017,0
Cal State Fullerton,79,UCSB,53,2017,2/2/2017,0
Northwestern State,97,Central Arkansas,107,2017,2/2/2017,0
Wagner,70,Central Connecticut,60,2017,2/2/2017,0
Florida Atlantic,77,Charlotte,75,2017,2/2/2017,0
North Carolina-Greensboro,68,Chattanooga,91,2017,2/2/2017,0
Wofford,100,Citadel,90,2017,2/2/2017,0
Detroit,73,Cleveland State,90,2017,2/2/2017,0
Sacramento State,72,Eastern Washington,77,2017,2/2/2017,0
James Madison,61,Elon,67,2017,2/2/2017,0
Niagara,61,Fairfield,81,2017,2/2/2017,0
Sacred Heart,74,Fairleigh Dickinson,70,2017,2/2/2017,0
Missouri,54,Florida,93,2017,2/2/2017,0
UIC,80,Green Bay,84,2017,2/2/2017,0
Delaware,65,Hofstra,73,2017,2/2/2017,0
Portland State,72,Idaho,89,2017,2/2/2017,0
Northern Arizona,90,Idaho State,91,2017,2/2/2017,0
McNeese State,87,Incarnate Word,79,2017,2/2/2017,0
Robert Morris,67,LIU-Brooklyn,63,2017,2/2/2017,0
Western Kentucky,67,Louisiana Tech,76,2017,2/2/2017,0
Furman,70,Mercer,68,2017,2/2/2017,0
Valparaiso,71,Milwaukee,53,2017,2/2/2017,0
Bryant,70,Mount St. Mary's,77,2017,2/2/2017,0
Belmont,81,Murray State,69,2017,2/2/2017,0
Michigan State,72,Nebraska,61,2017,2/2/2017,0
College of Charleston,67,North Carolina-Wilmington,66,2017,2/2/2017,0
Florida International,57,Old Dominion,64,2017,2/2/2017,0
Arizona State,70,Oregon,71,2017,2/2/2017,0
Arizona,71,Oregon State,54,2017,2/2/2017,0
Saint Mary's (CA),74,Pacific,70,2017,2/2/2017,0
Santa Clara,60,Portland,45,2017,2/2/2017,0
Stephen F. Austin,63,Sam Houston State,72,2017,2/2/2017,0
Western Carolina,63,Samford,82,2017,2/2/2017,0
Loyola Marymount,72,San Diego,53,2017,2/2/2017,0
Pepperdine,56,San Francisco,77,2017,2/2/2017,0
Memphis,85,South Florida,75,2017,2/2/2017,0
Marshall,76,Southern Miss,91,2017,2/2/2017,0
Saint Francis (PA),78,St. Francis (NY),61,2017,2/2/2017,0
Colorado,81,Stanford,74,2017,2/2/2017,0
Eastern Illinois,77,Tennessee State,67,2017,2/2/2017,0
Alabama-Birmingham,59,UTEP,63,2017,2/2/2017,0
Middle Tennessee,69,UTSA,59,2017,2/2/2017,0
Drexel,103,Towson,104,2017,2/2/2017,0
ETSU,81,Virginia Military Institute,71,2017,2/2/2017,0
Southern Utah,74,Weber State,90,2017,2/2/2017,0
Northeastern,69,William & Mary,94,2017,2/2/2017,0
Oakland,90,Youngstown State,76,2017,2/2/2017,0
New Orleans,69,Abilene Christian,70,2017,2/1/2017,0
UMass-Lowell,77,Albany (NY),90,2017,2/1/2017,0
Alabama,68,Arkansas,87,2017,2/1/2017,0
Lafayette,73,Army,80,2017,2/1/2017,0
Stetson,76,Bethune-Cookman,67,2017,2/1/2017,0
UMBC,92,Binghamton,74,2017,2/1/2017,0
American,60,Bucknell,80,2017,2/1/2017,0
Long Beach State,98,Cal State Northridge,108,2017,2/1/2017,0
Gardner-Webb,80,Campbell,68,2017,2/1/2017,0
Georgia Tech,62,Clemson,74,2017,2/1/2017,0
North Carolina A&T,65,Delaware State,82,2017,2/1/2017,0
Wichita State,77,Drake,69,2017,2/1/2017,0
St. Bonaventure,71,Duquesne,64,2017,2/1/2017,0
Austin Peay,83,Eastern Kentucky,81,2017,2/1/2017,0
Air Force,64,Fresno State,73,2017,2/1/2017,0
Maryland-Eastern Shore,65,Hampton,66,2017,2/1/2017,0
Colgate,50,Holy Cross,56,2017,2/1/2017,0
UCF,64,Houston,82,2017,2/1/2017,0
Northern Iowa,51,Illinois State,57,2017,2/1/2017,0
Penn State,102,Indiana,110,2017,2/1/2017,0
Evansville,84,Indiana State,85,2017,2/1/2017,0
North Dakota State,81,IUPUI,86,2017,2/1/2017,0
Southeast Missouri State,62,Jacksonville State,74,2017,2/1/2017,0
Baylor,68,Kansas,73,2017,2/1/2017,0
Texas Christian,86,Kansas State,80,2017,2/1/2017,0
UMass,78,La Salle,88,2017,2/1/2017,0
High Point,92,Longwood,68,2017,2/1/2017,0
South Carolina,88,LSU,63,2017,2/1/2017,0
Lehigh,60,Loyola (MD),62,2017,2/1/2017,0
Florida State,75,Miami (FL),57,2017,2/1/2017,0
South Dakota,83,Nebraska-Omaha,91,2017,2/1/2017,0
New Mexico,80,UNLV,77,2017,2/1/2017,0
Charleston Southern,73,North Carolina-Asheville,91,2017,2/1/2017,0
Syracuse,100,North Carolina State,93,2017,2/1/2017,0
Villanova,66,Providence,57,2017,2/1/2017,0
Northwestern,59,Purdue,80,2017,2/1/2017,0
Winthrop,81,Radford,65,2017,2/1/2017,0
George Mason,74,Saint Louis,76,2017,2/1/2017,0
Western Illinois,65,South Dakota State,98,2017,2/1/2017,0
Nicholls State,44,Southeastern Louisiana,72,2017,2/1/2017,0
Bradley,65,Southern Illinois,85,2017,2/1/2017,0
East Carolina,46,SMU,86,2017,2/1/2017,0
Marquette,72,St. John's (NY),86,2017,2/1/2017,0
New Hampshire,61,Stony Brook,64,2017,2/1/2017,0
UT-Martin,75,Tennessee Tech,46,2017,2/1/2017,0
Texas Tech,58,Texas,62,2017,2/1/2017,0
Houston Baptist,79,Texas A&M-Corpus Christi,90,2017,2/1/2017,0
Cincinnati,57,Tulsa,55,2017,2/1/2017,0
Nevada,57,Utah State,74,2017,2/1/2017,0
Maine,53,Vermont,74,2017,2/1/2017,0
Virginia Tech,48,Virginia,71,2017,2/1/2017,0
Richmond,74,VCU,81,2017,2/1/2017,0
USC,82,Washington,74,2017,2/1/2017,0
UCLA,95,Washington State,79,2017,2/1/2017,0
Seton Hall,70,Xavier,72,2017,2/1/2017,0
Tennessee,87,Auburn,77,2017,1/31/2017,0
Toledo,80,Ball State,81,2017,1/31/2017,0
Wake Forest,85,Boston College,80,2017,1/31/2017,0
Miami (OH),72,Bowling Green State,83,2017,1/31/2017,0
Central Michigan,91,Buffalo,101,2017,1/31/2017,0
Creighton,76,Butler,67,2017,1/31/2017,0
Boise State,79,Colorado State,76,2017,1/31/2017,0
Georgetown,76,DePaul,73,2017,1/31/2017,0
Kent State,70,Eastern Michigan,64,2017,1/31/2017,0
Manhattan,49,Fairfield,78,2017,1/31/2017,0
Dayton,75,Fordham,66,2017,1/31/2017,0
Bethesda University (CA),66,Grand Canyon,95,2017,1/31/2017,0
Wisconsin,57,Illinois,43,2017,1/31/2017,0
West Virginia,85,Iowa State,72,2017,1/31/2017,0
Georgia,81,Kentucky,90,2017,1/31/2017,0
Presbyterian,51,Liberty,71,2017,1/31/2017,0
Mississippi State,61,Ole Miss,88,2017,1/31/2017,0
Ottawa (KS),67,UMKC,93,2017,1/31/2017,0
Loyola (IL),81,Missouri State,82,2017,1/31/2017,0
Pitt,78,UNC,80,2017,1/31/2017,0
Akron,76,Northern Illinois,73,2017,1/31/2017,0
Maryland,77,Ohio State,71,2017,1/31/2017,0
Denver,93,Oral Roberts,69,2017,1/31/2017,0
George Washington,70,Rhode Island,82,2017,1/31/2017,0
Iowa,83,Rutgers,63,2017,1/31/2017,0
Davidson,75,St. Joseph's,60,2017,1/31/2017,0
Wyoming,68,San Diego State,77,2017,1/31/2017,0
Vanderbilt,68,Texas A&M,54,2017,1/31/2017,0
Temple,79,Tulane,71,2017,1/31/2017,0
Ohio,85,Western Michigan,90,2017,1/31/2017,0
Texas State,68,Appalachian State,55,2017,1/30/2017,0
Southern Illinois-Edwardsville,69,Belmont,92,2017,1/30/2017,0
Rider,72,Canisius,66,2017,1/30/2017,0
Texas-Arlington,70,Coastal Carolina,72,2017,1/30/2017,0
North Carolina Central,82,Delaware State,74,2017,1/30/2017,0
North Florida,59,Florida Gulf Coast,74,2017,1/30/2017,0
Mississippi Valley State,74,Grambling,77,2017,1/30/2017,0
Coppin State,65,Hampton,77,2017,1/30/2017,0
South Carolina State,77,Howard,68,2017,1/30/2017,0
Arkansas-Pine Bluff,59,Jackson State,74,2017,1/30/2017,0
Boston University,76,Lehigh,59,2017,1/30/2017,0
Arkansas State,88,Louisiana,69,2017,1/30/2017,0
Arkansas-Little Rock,52,Louisiana-Monroe,68,2017,1/30/2017,0
Monmouth,83,Marist,71,2017,1/30/2017,0
Savannah State,87,Maryland-Eastern Shore,82,2017,1/30/2017,0
Western Carolina,47,Mercer,62,2017,1/30/2017,0
Florida A&M,60,Morgan State,77,2017,1/30/2017,0
Northern New Mexico,75,New Mexico State,98,2017,1/30/2017,0
Kennesaw State,54,NJIT,53,2017,1/30/2017,0
North Carolina A&T,69,Norfolk State,83,2017,1/30/2017,0
Duke,84,Notre Dame,74,2017,1/30/2017,0
Oklahoma State,68,Oklahoma,66,2017,1/30/2017,0
Alabama State,52,Prairie View,72,2017,1/30/2017,0
Siena,84,Quinnipiac,75,2017,1/30/2017,0
Georgia State,83,South Alabama,80,2017,1/30/2017,0
Lipscomb,92,South Carolina Upstate,80,2017,1/30/2017,0
Jacksonville,89,Stetson,86,2017,1/30/2017,0
Alabama A&M,47,Texas Southern,92,2017,1/30/2017,0
Georgia Southern,76,Troy,83,2017,1/30/2017,0
Drexel,85,William & Mary,108,2017,1/30/2017,0
Colgate,70,American,65,2017,1/29/2017,0
Washington,66,Arizona,77,2017,1/29/2017,0
Washington State,91,Arizona State,83,2017,1/29/2017,0
Wichita State,64,Bradley,49,2017,1/29/2017,0
Stanford,55,University of California,66,2017,1/29/2017,0
South Florida,53,Cincinnati,94,2017,1/29/2017,0
Green Bay,92,Detroit,93,2017,1/29/2017,0
Illinois State,69,Evansville,59,2017,1/29/2017,0
Wright State,88,UIC,86,2017,1/29/2017,0
St. Peter's,66,Iona,69,2017,1/29/2017,0
North Carolina State,60,Louisville,85,2017,1/29/2017,0
Binghamton,65,Maine,54,2017,1/29/2017,0
Michigan,62,Michigan State,70,2017,1/29/2017,0
Purdue,80,Nebraska,83,2017,1/29/2017,0
Indiana,55,Northwestern,68,2017,1/29/2017,0
Milwaukee,70,Oakland,79,2017,1/29/2017,0
Xavier,82,St. John's (NY),77,2017,1/29/2017,0
Northern Kentucky,58,Valparaiso,65,2017,1/29/2017,0
Virginia,59,Villanova,61,2017,1/29/2017,0
Boston College,79,Virginia Tech,85,2017,1/29/2017,0
Buffalo,90,Akron,91,2017,1/28/2017,0
Mississippi State,62,Alabama,71,2017,1/28/2017,0
Southern Miss,43,Alabama-Birmingham,87,2017,1/28/2017,0
Southern,64,Alcorn State,74,2017,1/28/2017,0
Texas-Arlington,83,Appalachian State,67,2017,1/28/2017,0
Bucknell,96,Army,75,2017,1/28/2017,0
Southeast Missouri State,82,Austin Peay,71,2017,1/28/2017,0
Western Michigan,78,Ball State,84,2017,1/28/2017,0
Ohio,96,Bowling Green State,72,2017,1/28/2017,0
Loyola Marymount,77,BYU,85,2017,1/28/2017,0
Fairleigh Dickinson,72,Bryant,73,2017,1/28/2017,0
Georgetown,85,Butler,81,2017,1/28/2017,0
Cal Poly,71,Cal State Fullerton,81,2017,1/28/2017,0
UC-Irvine,65,UC-Davis,74,2017,1/28/2017,0
Cal State Northridge,63,UC-Riverside,59,2017,1/28/2017,0
Liberty,72,Campbell,40,2017,1/28/2017,0
Manhattan,64,Canisius,78,2017,1/28/2017,0
Incarnate Word,81,Central Arkansas,80,2017,1/28/2017,0
LIU-Brooklyn,52,Central Connecticut,61,2017,1/28/2017,0
Gardner-Webb,85,Charleston Southern,76,2017,1/28/2017,0
Grand Canyon,85,Chicago State,77,2017,1/28/2017,0
Texas State,52,Coastal Carolina,50,2017,1/28/2017,0
Oregon,65,Colorado,74,2017,1/28/2017,0
Harvard,62,Columbia,65,2017,1/28/2017,0
Tulane,68,UConn,78,2017,1/28/2017,0
Morgan State,76,Coppin State,74,2017,1/28/2017,0
Dartmouth,62,Cornell,75,2017,1/28/2017,0
DePaul,66,Creighton,83,2017,1/28/2017,0
James Madison,61,Delaware,66,2017,1/28/2017,0
Florida A&M,81,Delaware State,68,2017,1/28/2017,0
Northern Iowa,71,Drake,63,2017,1/28/2017,0
College of Charleston,90,Drexel,76,2017,1/28/2017,0
Chattanooga,71,ETSU,76,2017,1/28/2017,0
Southern Illinois-Edwardsville,60,Eastern Illinois,75,2017,1/28/2017,0
Marist,62,Fairfield,72,2017,1/28/2017,0
Jacksonville,56,Florida Gulf Coast,78,2017,1/28/2017,0
Davidson,84,Fordham,66,2017,1/28/2017,0
Saint Louis,55,George Washington,63,2017,1/28/2017,0
Texas,57,Georgia,59,2017,1/28/2017,0
Notre Dame,60,Georgia Tech,62,2017,1/28/2017,0
Arkansas-Pine Bluff,53,Grambling,61,2017,1/28/2017,0
Albany (NY),74,Hartford,61,2017,1/28/2017,0
UCSB,56,Hawaii,78,2017,1/28/2017,0
Elon,84,Hofstra,70,2017,1/28/2017,0
Temple,66,Houston,79,2017,1/28/2017,0
Savannah State,73,Howard,70,2017,1/28/2017,0
Loyola (IL),81,Indiana State,66,2017,1/28/2017,0
Ohio State,72,Iowa,85,2017,1/28/2017,0
Mississippi Valley State,68,Jackson State,83,2017,1/28/2017,0
Morehead State,72,Jacksonville State,69,2017,1/28/2017,0
Central Michigan,105,Kent State,98,2017,1/28/2017,0
Kansas,79,Kentucky,73,2017,1/28/2017,0
Loyola (MD),70,Lafayette,62,2017,1/28/2017,0
Northwestern State,64,Lamar,85,2017,1/28/2017,0
Arkansas-Little Rock,82,Louisiana,88,2017,1/28/2017,0
Arkansas State,73,Louisiana-Monroe,63,2017,1/28/2017,0
Providence,79,Marquette,78,2017,1/28/2017,0
UTEP,91,Marshall,68,2017,1/28/2017,0
New Hampshire,103,UMBC,105,2017,1/28/2017,0
South Carolina State,69,Maryland-Eastern Shore,92,2017,1/28/2017,0
George Mason,76,UMass,74,2017,1/28/2017,0
Fisher College,73,UMass-Lowell,97,2017,1/28/2017,0
East Carolina,50,Memphis,57,2017,1/28/2017,0
Citadel,66,Mercer,82,2017,1/28/2017,0
UNC,62,Miami (FL),77,2017,1/28/2017,0
Eastern Michigan,74,Miami (OH),57,2017,1/28/2017,0
Louisiana Tech,61,Middle Tennessee,71,2017,1/28/2017,0
Maryland,85,Minnesota,78,2017,1/28/2017,0
Baylor,78,Ole Miss,75,2017,1/28/2017,0
South Carolina,63,Missouri,53,2017,1/28/2017,0
Cal State Bakersfield,74,UMKC,63,2017,1/28/2017,0
Idaho,85,Montana,77,2017,1/28/2017,0
Eastern Washington,90,Montana State,91,2017,1/28/2017,0
Sacred Heart,53,Mount St. Mary's,67,2017,1/28/2017,0
UT-Martin,86,Murray State,94,2017,1/28/2017,0
Holy Cross,47,Navy,60,2017,1/28/2017,0
South Dakota State,88,Nebraska-Omaha,84,2017,1/28/2017,0
New Mexico,65,Nevada,82,2017,1/28/2017,0
Rider,67,Niagara,80,2017,1/28/2017,0
McNeese State,74,Nicholls State,78,2017,1/28/2017,0
Lipscomb,66,NJIT,62,2017,1/28/2017,0
Bethune-Cookman,66,Norfolk State,73,2017,1/28/2017,0
Radford,69,North Carolina-Asheville,80,2017,1/28/2017,0
North Carolina A&T,59,North Carolina Central,82,2017,1/28/2017,0
Furman,73,North Carolina-Greensboro,67,2017,1/28/2017,0
Old Dominion,73,North Texas,67,2017,1/28/2017,0
Towson,62,Northeastern,69,2017,1/28/2017,0
North Dakota,67,Northern Arizona,68,2017,1/28/2017,0
Florida,84,Oklahoma,52,2017,1/28/2017,0
Arkansas,71,Oklahoma State,99,2017,1/28/2017,0
IPFW,87,Oral Roberts,83,2017,1/28/2017,0
San Francisco,81,Pacific,60,2017,1/28/2017,0
Illinois,67,Penn State,71,2017,1/28/2017,0
Gonzaga,96,Pepperdine,49,2017,1/28/2017,0
Clemson,67,Pitt,60,2017,1/28/2017,0
San Diego,68,Portland,52,2017,1/28/2017,0
Alabama A&M,65,Prairie View,70,2017,1/28/2017,0
Longwood,62,Presbyterian,71,2017,1/28/2017,0
St. Bonaventure,59,Rhode Island,71,2017,1/28/2017,0
Charlotte,67,Rice,84,2017,1/28/2017,0
Duquesne,90,Richmond,101,2017,1/28/2017,0
Wisconsin,61,Rutgers,54,2017,1/28/2017,0
Portland State,77,Sacramento State,80,2017,1/28/2017,0
Robert Morris,83,Saint Francis (PA),89,2017,1/28/2017,0
La Salle,72,St. Joseph's,73,2017,1/28/2017,0
Southeastern Louisiana,69,Sam Houston State,71,2017,1/28/2017,0
Colorado State,78,San Diego State,77,2017,1/28/2017,0
UNLV,72,San Jose State,76,2017,1/28/2017,0
Saint Mary's (CA),72,Santa Clara,59,2017,1/28/2017,0
Texas-Rio Grande Valley,84,Seattle,96,2017,1/28/2017,0
Georgia Southern,66,South Alabama,78,2017,1/28/2017,0
Kennesaw State,73,South Carolina Upstate,79,2017,1/28/2017,0
Denver,83,South Dakota,88,2017,1/28/2017,0
Missouri State,84,Southern Illinois,85,2017,1/28/2017,0
Northern Colorado,89,Southern Utah,71,2017,1/28/2017,0
New Orleans,61,Stephen F. Austin,71,2017,1/28/2017,0
North Florida,74,Stetson,88,2017,1/28/2017,0
Vermont,71,Stony Brook,64,2017,1/28/2017,0
Florida State,72,Syracuse,82,2017,1/28/2017,0
Kansas State,58,Tennessee,70,2017,1/28/2017,0
Belmont,93,Tennessee State,76,2017,1/28/2017,0
Eastern Kentucky,79,Tennessee Tech,66,2017,1/28/2017,0
Abilene Christian,60,Texas A&M-Corpus Christi,72,2017,1/28/2017,0
Auburn,88,Texas Christian,80,2017,1/28/2017,0
Alabama State,68,Texas Southern,70,2017,1/28/2017,0
LSU,64,Texas Tech,77,2017,1/28/2017,0
Northern Illinois,74,Toledo,72,2017,1/28/2017,0
Georgia State,78,Troy,72,2017,1/28/2017,0
UCF,66,Tulsa,77,2017,1/28/2017,0
Oregon State,78,Utah,86,2017,1/28/2017,0
Fresno State,65,Utah State,78,2017,1/28/2017,0
New Mexico State,74,Utah Valley,69,2017,1/28/2017,0
Iowa State,78,Vanderbilt,84,2017,1/28/2017,0
Samford,69,Virginia Military Institute,67,2017,1/28/2017,0
St. Francis (NY),64,Wagner,66,2017,1/28/2017,0
Duke,85,Wake Forest,83,2017,1/28/2017,0
Texas A&M,77,West Virginia,81,2017,1/28/2017,0
Wofford,62,Western Carolina,68,2017,1/28/2017,0
IUPUI,69,Western Illinois,78,2017,1/28/2017,0
UTSA,66,Western Kentucky,81,2017,1/28/2017,0
North Carolina-Wilmington,78,William & Mary,96,2017,1/28/2017,0
High Point,83,Winthrop,80,2017,1/28/2017,0
Boise State,80,Wyoming,65,2017,1/28/2017,0
Cleveland State,64,Youngstown State,67,2017,1/28/2017,0
Dartmouth,54,Columbia,66,2017,1/27/2017,0
Harvard,77,Cornell,71,2017,1/27/2017,0
Milwaukee,73,Detroit,69,2017,1/27/2017,0
Northern Kentucky,79,UIC,62,2017,1/27/2017,0
Quinnipiac,76,Monmouth,95,2017,1/27/2017,0
Green Bay,80,Oakland,72,2017,1/27/2017,0
Iona,77,Siena,66,2017,1/27/2017,0
Wright State,55,Valparaiso,70,2017,1/27/2017,0
Dayton,68,VCU,73,2017,1/27/2017,0
Idaho State,74,Weber State,96,2017,1/27/2017,0
Brown,75,Yale,85,2017,1/27/2017,0
Louisiana Tech,70,Alabama-Birmingham,79,2017,1/26/2017,0
Washington State,62,Arizona,79,2017,1/26/2017,0
UT-Martin,85,Austin Peay,79,2017,1/26/2017,0
Cal Poly,79,UC-Irvine,66,2017,1/26/2017,0
Cal State Bakersfield,75,Chicago State,59,2017,1/26/2017,0
Xavier,78,Cincinnati,86,2017,1/26/2017,0
Oregon State,78,Colorado,85,2017,1/26/2017,0
Hofstra,80,Drexel,81,2017,1/26/2017,0
Florida Atlantic,83,Florida International,65,2017,1/26/2017,0
Winthrop,72,Gardner-Webb,70,2017,1/26/2017,0
San Diego,43,Gonzaga,79,2017,1/26/2017,0
Charleston Southern,69,High Point,72,2017,1/26/2017,0
Nicholls State,80,Houston Baptist,83,2017,1/26/2017,0
Abilene Christian,79,Incarnate Word,82,2017,1/26/2017,0
Eastern Kentucky,57,Jacksonville State,52,2017,1/26/2017,0
North Carolina-Wilmington,87,James Madison,76,2017,1/26/2017,0
Cal State Fullerton,65,Long Beach State,76,2017,1/26/2017,0
Liberty,93,Longwood,62,2017,1/26/2017,0
Pacific,73,Loyola Marymount,79,2017,1/26/2017,0
St. Peter's,81,Marist,65,2017,1/26/2017,0
UTSA,71,Marshall,92,2017,1/26/2017,0
Indiana,60,Michigan,90,2017,1/26/2017,0
Southern Miss,56,Middle Tennessee,72,2017,1/26/2017,0
Grand Canyon,77,UMKC,83,2017,1/26/2017,0
Eastern Washington,72,Montana,60,2017,1/26/2017,0
Idaho,91,Montana State,94,2017,1/26/2017,0
Robert Morris,47,Mount St. Mary's,48,2017,1/26/2017,0
Southeast Missouri State,75,Murray State,74,2017,1/26/2017,0
McNeese State,56,New Orleans,75,2017,1/26/2017,0
Manhattan,70,Niagara,69,2017,1/26/2017,0
Virginia Tech,72,UNC,91,2017,1/26/2017,0
Charlotte,82,North Texas,81,2017,1/26/2017,0
Elon,51,Northeastern,49,2017,1/26/2017,0
Northern Colorado,50,Northern Arizona,63,2017,1/26/2017,0
Nebraska,61,Northwestern,73,2017,1/26/2017,0
Portland,60,Pepperdine,78,2017,1/26/2017,0
North Carolina-Asheville,73,Presbyterian,47,2017,1/26/2017,0
Campbell,78,Radford,61,2017,1/26/2017,0
Old Dominion,80,Rice,72,2017,1/26/2017,0
LIU-Brooklyn,60,Sacred Heart,57,2017,1/26/2017,0
San Francisco,46,Saint Mary's (CA),66,2017,1/26/2017,0
BYU,68,Santa Clara,76,2017,1/26/2017,0
New Mexico State,71,Seattle,56,2017,1/26/2017,0
North Dakota,91,Southern Utah,89,2017,1/26/2017,0
Fairleigh Dickinson,79,St. Francis (NY),73,2017,1/26/2017,0
Morehead State,73,Tennessee Tech,76,2017,1/26/2017,0
College of Charleston,77,Towson,83,2017,1/26/2017,0
Oregon,73,Utah,67,2017,1/26/2017,0
Texas-Rio Grande Valley,81,Utah Valley,92,2017,1/26/2017,0
Saint Francis (PA),72,Wagner,67,2017,1/26/2017,0
UTEP,62,Western Kentucky,65,2017,1/26/2017,0
Delaware,58,William & Mary,82,2017,1/26/2017,0
Vermont,60,Albany (NY),49,2017,1/25/2017,0
Navy,71,American,53,2017,1/25/2017,0
Washington,75,Arizona State,86,2017,1/25/2017,0
Texas Tech,61,Baylor,65,2017,1/25/2017,0
Hartford,55,Binghamton,76,2017,1/25/2017,0
Nevada,76,Boise State,57,2017,1/25/2017,0
Army,89,Boston University,90,2017,1/25/2017,0
Cal State Northridge,78,UCSB,57,2017,1/25/2017,0
Bryant,65,Central Connecticut,54,2017,1/25/2017,0
SMU,65,UCF,60,2017,1/25/2017,0
Virginia Military Institute,80,Chattanooga,64,2017,1/25/2017,0
Lehigh,76,Colgate,62,2017,1/25/2017,0
San Jose State,72,Colorado State,81,2017,1/25/2017,0
